2021-05-14 10:22:27.309 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"7b0bbe80-c095-46d1-a7d8-f341370f0778","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:22:27.309 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"7b0bbe80-c095-46d1-a7d8-f341370f0778","result":"null"}}	
2021-05-14 10:22:30.306 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"31743908-7753-498b-8aa5-b1288a9d559e","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:22:30.306 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"31743908-7753-498b-8aa5-b1288a9d559e","result":"null"}}	
2021-05-14 10:22:33.307 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"51cfb6f5-f749-4ca5-a014-cd15d578d681","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:22:33.307 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"51cfb6f5-f749-4ca5-a014-cd15d578d681","result":"null"}}	
2021-05-14 10:22:36.309 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"c7b5f472-3a8e-4ce6-bc5b-e6ec4902fcb5","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:22:36.310 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"c7b5f472-3a8e-4ce6-bc5b-e6ec4902fcb5","result":"null"}}	
2021-05-14 10:22:39.309 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"65096c37-4d08-42d5-9a0f-5581928a2e10","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:22:39.310 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"65096c37-4d08-42d5-9a0f-5581928a2e10","result":"null"}}	
2021-05-14 10:22:42.311 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"36fd545f-22db-4f63-bc34-cb8c85021aeb","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:22:42.312 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"36fd545f-22db-4f63-bc34-cb8c85021aeb","result":"null"}}	
2021-05-14 10:22:45.306 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"222d5c6e-888b-4d4b-ac14-16c089fb4080","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:22:45.307 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"222d5c6e-888b-4d4b-ac14-16c089fb4080","result":"null"}}	
2021-05-14 10:22:48.307 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"2e84c6d3-1808-43a3-a477-0cb3d156d144","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:22:48.308 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"2e84c6d3-1808-43a3-a477-0cb3d156d144","result":"null"}}	
2021-05-14 10:22:51.311 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"6f3acda4-9f08-40f4-abfe-1d8f3d75a556","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:22:51.311 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"6f3acda4-9f08-40f4-abfe-1d8f3d75a556","result":"null"}}	
2021-05-14 10:22:54.306 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"3e56f78d-d6cc-4401-b253-8ad4f67af128","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:22:54.307 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"3e56f78d-d6cc-4401-b253-8ad4f67af128","result":"null"}}	
2021-05-14 10:22:57.311 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"31ed28ec-b5b7-4230-a2c7-2ce77ce26199","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:22:57.312 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"31ed28ec-b5b7-4230-a2c7-2ce77ce26199","result":"null"}}	
2021-05-14 10:23:00.308 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"3ec1c2f6-c5a8-4d06-982c-75919eeeb80c","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:23:00.309 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"3ec1c2f6-c5a8-4d06-982c-75919eeeb80c","result":"null"}}	
2021-05-14 10:23:03.309 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"ba8b4e20-1a7c-4d15-84e4-80f5b8abdea8","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:23:03.310 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"ba8b4e20-1a7c-4d15-84e4-80f5b8abdea8","result":"null"}}	
2021-05-14 10:23:06.308 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"ae50bb33-b444-431d-b179-6f8b23f11140","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:23:06.308 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"ae50bb33-b444-431d-b179-6f8b23f11140","result":"null"}}	
2021-05-14 10:23:09.311 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"bd7d6e3f-be81-4cbe-a18a-ad46482c4421","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:23:09.311 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"bd7d6e3f-be81-4cbe-a18a-ad46482c4421","result":"null"}}	
2021-05-14 10:23:12.309 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"e4e16946-4e61-4600-889b-4db84062b244","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:23:12.309 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"e4e16946-4e61-4600-889b-4db84062b244","result":"null"}}	
2021-05-14 10:23:15.312 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"6584b858-d1ee-457f-898f-52cf05e00c56","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:23:15.312 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"6584b858-d1ee-457f-898f-52cf05e00c56","result":"null"}}	
2021-05-14 10:23:18.308 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"f8abe3d7-66a6-4518-b4c5-f7c189f52a2a","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:23:18.308 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"f8abe3d7-66a6-4518-b4c5-f7c189f52a2a","result":"null"}}	
2021-05-14 10:23:21.307 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"46dbde98-9ad4-4ead-b7d8-9e4912309a79","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:23:21.307 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"46dbde98-9ad4-4ead-b7d8-9e4912309a79","result":"null"}}	
2021-05-14 10:23:24.308 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"f1aafc06-efc3-4eb5-903e-d45df9576046","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:23:24.309 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"f1aafc06-efc3-4eb5-903e-d45df9576046","result":"null"}}	
2021-05-14 10:23:27.307 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"b956da7e-62f1-453c-a84a-e85babca3455","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:23:27.307 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"b956da7e-62f1-453c-a84a-e85babca3455","result":"null"}}	
2021-05-14 10:23:30.309 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"1305ee86-6c73-4f4f-8e49-ca5289020722","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:23:30.310 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"1305ee86-6c73-4f4f-8e49-ca5289020722","result":"null"}}	
